ISBN,Title,Author,Format,Gross Qty,Returned Qty,Net Qty,Net Compensation,Sales Market
9781934840917,Dark Navy: The Italian Regia Marina and the Armistice of 8 September 1943,"O'Hara, Vincent",Paperback,77,0,77,765.81,US
9781934840443,The Unauthorized Harry Potter Quiz Book: 165 Questions Ranging from The Sorcerer's Stone to The Deathly Hallows,"Davis, Graeme",Paperback,54,0,54,760.33,US
9781934840184,"BB-67 Montana, U.S. Navy Battleship: Why She Matters Today","Zimmerman, W. Frederick",Paperback,76,0,76,757.23,US
9781608882939,Eurasia v. NATOstan,"Escobar, Pepe",Hardcover,70,0,70,724.18,UK
9781934840955,Imperial Japanese Navy 1932-1945 Warships and Colours: With Japanese Army Vessels and Three Special Bonus Pages,"Wright, Malcolm",Paperback,53,0,53,700.31,UK
9781608880508,Rise of the Drones: Unmanned Systems and the Future of War,"U. S. House of Representatives, House Of",Paperback,70,0,70,695.69,US
9781608880461,The World Wonder'd: What Really Happened Off Samar,"Lundgren, Robert",Hardcover,105,0,105,677.12,UK
9781608882953,Eurasia v. NATOstan,"Escobar, Pepe",Paperback,67,0,67,672.76,UK
9781608882939,Eurasia v. NATOstan,"Escobar, Pepe",Hardcover,67,0,67,661.96,DE (Global Connect)
9781608881062,Brave Just Like Me,"Ruff, Kimberly",Paperback,159,0,159,594.00,US
9781608884087,Football Nomad,"Radakovich, Dan",Hardcover,50,0,50,591.40,US
9781608882007,A Good and Favorable Wind: The Unusual Story Of A Submarine Under Sail And Its Cautionary Lessons For The Modern Navy,"Johnston, David, L.",Hardcover,65,0,65,584.12,US
9781608880225,"Operation Sea Lion: A Joint Critical Analysis, Or, How Hitler Could Have Won, If He Were More Joint","McCanne, Lt Col Randy",Paperback,47,0,47,584.07,US
9781608880270,Historical Bibliography of Sea Mine Warfare,"Patterson, Andrew",Paperback,61,0,61,578.08,US
9781934840467,"The John Boyd Roundtable: Debating Science, Strategy, and War","Safranski, Mark",Paperback,85,0,85,572.46,UK
9781934840832,Obama Does Globalistan,"Escobar, Pepe",Paperback,47,0,47,571.64,UK
9781608882359,History of the Indian tribes of North America [Single-Volume Facsimile Edition]: with Biographical Sketches and Anecdotes of the Principal Chiefs,"McKenney, Thomas, L.",Hardcover,15,0,15,559.97,US
9781608880805,"Winter's Guide to Warships 1890: Volume 1: Britain, Italy, Turkey, and Smaller Navies","Malkov, Dimitry",Hardcover,24,0,24,548.30,US
9781608880348,The Russia-Georgia War,"Boufesis, Alexandros Fox",Hardcover,78,0,78,546.40,US
9781608881017,Thunder in its Courses: Essays on the Battlecruiser,"Worth, Richard",Hardcover,54,0,54,525.20,US
9781608880874,The King's English (2d edition),"Fowler, H.W.",Hardcover,66,0,66,515.01,US
9781608882335,Raging Twenties: Great Power Politics Meets Techno-Feudalism,"Escobar, Pepe",Hardcover,45,0,45,507.49,UK
9781608880508,Rise of the Drones: Unmanned Systems and the Future of War,"U. S. House of Representatives, House Of",Paperback,53,0,53,490.04,UK
9781934840856,Building the PT Boats: An Illustrated History of U.S. Navy Torpedo Boat Construction in World War II,"Andruss Sr., Frank J.",Paperback,30,0,30,476.22,UK
9781608881550,The Ghosts of Stalingrad:  Why the Airlift Didn't Work,"Akins II, Willard B.",Paperback,58,-1,57,474.99,US
9781608881499,PT Boats Behind The Scenes,"Andruss Sr., Frank J.",Hardcover,32,0,32,473.38,UK
9781608880300,Hitler's Malta Option: A Comparison of the Invasion of Crete (Operation Merkur) and the Proposed Invasion of Malta (Operation Hercules),"Kavanaugh, Stephen L. W.",Paperback,51,0,51,472.65,UK
9781608881192,Jane's Fighting Ships 1900 (facsimile edition),"Jane, Frederick T.",Paperback,12,0,12,466.36,UK
9781608880478,Packed and Loaded: Conversations with James M. Cain,"Cain, James M.",Paperback,49,0,49,466.07,US
9781608881468,United States - Vietnam Relations 1945 - 1967 (The Pentagon Papers) (Volume 4),"Office of the Secretary of Defense,",Hardcover,27,0,27,447.33,US
9781934840962,"The World's Warships 1915: Compiled from Jane's ""Fighting Ships""","Jane, Fred, T.",Hardcover,16,0,16,441.87,US
9781608882953,Eurasia v. NATOstan,"Escobar, Pepe",Paperback,49,0,49,441.00,DE (Global Connect)
9781608880065,Journey to the End of the Earth: WW2 Wargames in the Frozen North,"Wright, Mal",Paperback,35,0,35,413.02,US
9781608881161,Citizen Arianna: The Huffington Post / AOL Merger: Triumph or Tragedy?,"Snow, Dr Nancy",Paperback,41,0,41,409.51,US
9781608880089,European Axis Signal Intelligence in World War II,"National Security Agency,",Hardcover,11,0,11,409.06,UK
9781934840917,Dark Navy: The Italian Regia Marina and the Armistice of 8 September 1943,"O'Hara, Vincent",Paperback,46,0,46,407.68,UK
9781608881581,United States - Vietnam Relations 1945 - 1967 (The Pentagon Papers) (Volume 9),"Office of the Secretary of Defense,",Hardcover,20,0,20,404.05,US
9781608880805,"Winter's Guide to Warships 1890: Volume 1: Britain, Italy, Turkey, and Smaller Navies","Malkov, Dimitry",Hardcover,14,0,14,400.44,UK
9781934840443,The Unauthorized Harry Potter Quiz Book: 165 Questions Ranging from The Sorcerer's Stone to The Deathly Hallows,"Davis, Graeme",Paperback,44,0,44,397.00,UK
9781608881444,United States - Vietnam Relations 1945 - 1967 (The Pentagon Papers) (Volume 2),"Office of the Secretary of Defense,",Hardcover,20,0,20,394.88,US
9780978813895,Red Zone Blues: a snapshot of Baghdad during the surge,"Escobar, Pepe",Paperback,42,0,42,391.65,US
9781934840399,"Through Stranger Eyes: Reviews, Introductions, Tributes & Iconoclastic Essays","Brin, David",Paperback,29,0,29,386.91,US
9780979920523,Stellar Atmospheres: A Contribution To The Observational Study Of High Temperature In The Reversing Layers Of Stars,"Payne, Cecilia, H.",Hardcover,57,0,57,385.84,US
9781608881963,Chief of Space Operations' Planning Guidance: 1st Chief of Space Operations,United States Space Force,Hardcover,118,0,118,383.76,US
9781608880027,The Simple Sabotage Manual: Timeless Managerial Wisdom from the Intelligence Community,"Office of Strategic Services, Of Strateg",Paperback,37,0,37,377.86,US
9781934840122,"Mastering Space War: The Advanced Strategies, Technologies, and Theories Needed For Victory","Szymanski, Paul",Hardcover,16,0,16,375.55,UK
9781608880973,"The ""Family Jewels"": Declassified Documents Released by the CIA under the Freedom of Information Act, June 2007","Central Intelligence Agency,",Hardcover,25,0,25,374.62,US
9781934840221,"CVN-71 THEODORE ROOSEVELT, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,38,0,38,374.15,US
9781934840900,Born American: A Chinese Woman's Dream of Liberty,"Gong,  Sasha",Paperback,34,0,34,368.90,US
9781608880300,Hitler's Malta Option: A Comparison of the Invasion of Crete (Operation Merkur) and the Proposed Invasion of Malta (Operation Hercules),"Kavanaugh, Stephen L. W.",Paperback,33,0,33,367.93,US
9781608880621,"Investigation of Forrestal Fire: Copy of findings, recommendations and opinions of investigation into fire on board USS Forrestal (CVA 59)",Chief of Naval Operations,Paperback,55,0,55,364.95,US
9781934840214,"CVN-70 CARL VINSON, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,37,0,37,364.46,US
9781934840429,The Ship Killers: The Definitive Illustrated History of the Torpedo Boat,"Hinds, Joe",Hardcover,16,0,16,363.61,US
9781608881130,The Royal Navy's Revenge and Other Little-Known Encounters of the War at Sea,"O'Hara, Vincent P.",Hardcover,41,0,41,354.24,UK
9781934840306,"SSN-23 JIMMY CARTER, U.S. Navy Submarine (Seawolf class)","Zimmerman, W. Frederick",Paperback,36,0,36,351.59,US
9781934840528,In the Shadow of the Battleship: Considering the Cruisers of World War II,"Worth, Richard",Paperback,27,0,27,349.64,US
9781934840979,Principles of War,"Hapsburg, Archduke Charles von",Paperback,40,0,40,348.72,UK
9781608881604,FLEETS OF WORLD WAR II: Design History and Analysis for Every Ship of Every Navy (Revised Edition),"Worth, Richard",Hardcover,32,0,32,346.60,UK
9780978813819,The World Is Flat: Not! Cool New World Maps for Kids,"Zimmerman, W. Frederick",Paperback,34,0,34,338.69,US
9781608881451,United States - Vietnam Relations 1945 - 1967 (The Pentagon Papers) (Volume 3),"Office of the Secretary of Defense,",Hardcover,16,0,16,336.68,US
9781608880430,Napoleon's Cavalry: A Key Element to Decisive Victory,"Shoffner, Thomas",Paperback,29,0,29,335.21,US
9781608881598,United States - Vietnam Relations 1945 - 1967 (The Pentagon Papers) (Volume 10),"Office of the Secretary of Defense,",Hardcover,19,0,19,333.84,US
9781934840023,"CVN-78 GERALD R. FORD, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,43,0,43,321.45,UK
9781608881635,Memories and Records: the Lord FIsher Omnibus,"Fisher, Baron Sir John Arbuthnot",Hardcover,22,0,22,319.43,US
9781608880577,Department of Defense Law of War Manual,"Department of Defense, OGC",Hardcover,10,0,10,318.25,UK
9781608881680,Why the USS Thresher (SSN 593) Was Lost,"Rule, Bruce",Hardcover,47,0,47,318.17,UK
9781608881659,Battleship Victory: Principles of Sea Power in the War in the Pacific,"Lundgren, Robert",Hardcover,43,0,43,313.07,UK
9781608881338,The Unauthorized Harry Potter Quiz Book,Graeme Davis,Ebook,159,0,159,305.14,US (Agency)
9781934840160,"Jane's Fighting Ships 1904. (Naval Encyclopedia and Year Book): Facsimile Edition. Volume 2 of 2.  United States, Japan, Italy, Austria-Hungary, Coast Defense Navies, Minor Navies, topical surveys.","Jane, Fred, T.",Hardcover,13,0,13,303.42,US
9781934840023,"CVN-78 GERALD R. FORD, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,30,0,30,295.32,US
9781608881208,Why the USS Scorpion (SSN 589) Was Lost: The Death of a Submarine in the North Atlantic,"Rule, Bruce",Hardcover,42,0,42,291.42,UK
9781608881529,United States - Vietnam Relations 1945 - 1967 (The Pentagon Papers) (Volume 7),"Office of the Secretary of Defense,",Hardcover,16,0,16,286.66,US
9781934840184,"BB-67 Montana, U.S. Navy Battleship: Why She Matters Today","Zimmerman, W. Frederick",Paperback,42,0,42,280.80,UK
9781608880775,Dark Navy: The Italian Regia Marina and the Armistice of 8 September 1943,"O'Hara, Vincent",Hardcover,38,0,38,276.34,US
9781608881550,The Ghosts of Stalingrad:  Why the Airlift Didn't Work,"Akins II, Willard B.",Paperback,38,0,38,275.50,UK
9781608881741,Technical Articles about the Voynich Manuscript,National Security Agency,Hardcover,47,0,47,267.17,US
9781608881178,Arsenal Ship Omnibus,"Zimmerman, W. Frederick",Hardcover,5,0,5,254.41,US
9781608881024,"The Regia Marina's MAS Boats, 1915-1945","Connelly, T. Garth",Hardcover,22,0,22,253.29,US
9781608880065,Journey to the End of the Earth: WW2 Wargames in the Frozen North,"Wright, Mal",Paperback,27,0,27,247.05,UK
9781608881888,Navigation Rules and Regulations Handbook,Department of Homeland Security,Hardcover,51,0,51,242.99,UK
9781934840399,"Through Stranger Eyes: Reviews, Introductions, Tributes & Iconoclastic Essays","Brin, David",Paperback,20,0,20,239.26,UK
9780979920516,Global Perspectives on Space Power,"Szymanski, Paul,",Hardcover,9,0,9,238.76,UK
9781608880676,Guide to Captured German Documents [World War II Bibliography],"Weinberg, Gerhard L.",Paperback,28,0,28,237.57,US
9781608882762,Comfortable with Chaos,"Zaszewski, Richard A.",Paperback,31,-2,29,237.24,US
9781608880409,Crete: The Graveyard of the Fallschirmjger,"Bond, Major George",Paperback,20,0,20,236.78,US
9781608882007,A Good and Favorable Wind: The Unusual Story Of A Submarine Under Sail And Its Cautionary Lessons For The Modern Navy,"Johnston, David, L.",Hardcover,28,0,28,236.46,UK
9781608880881,Spacepower: Doctrine for Space Forces,United States Space Force,Hardcover,44,0,44,236.39,UK
9781608881321,With the Battle Cruisers,"Young, Filson",Hardcover,20,0,20,235.28,US
9781934840030,X-47 Unmanned Combat Air Vehicle (UCAV),"Zimmerman, W. Frederick",Paperback,23,0,23,227.50,US
